division,school,nickname,logo
FCS,Rhode Island,Rams,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Rhode_Island_Rams_logo.svg/800px-Rhode_Island_Rams_logo.svg.png
FCS,Richmond,Spiders,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Richmond_Spiders_logo.svg/800px-Richmond_Spiders_logo.svg.png
FCS,Stony Brook,Seawolves,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Stony_Brook_Seawolves_logo.svg/1280px-Stony_Brook_Seawolves_logo.svg.png
FCS,Towson,Tigers,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Towson_Tigers_logo.svg/1280px-Towson_Tigers_logo.svg.png
FCS,Villanova,Wildcats,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Villanova_Wildcats_logo.svg/1024px-Villanova_Wildcats_logo.svg.png
FCS,William & Mary,Tribe,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/William_and_Mary_Tribe_wordmark.svg/1024px-William_and_Mary_Tribe_wordmark.svg.png
D3,Becker,Hawks,https://footballpedia.s3.amazonaws.com/logo/Division+3/Becker_Hawks.jpg
D3,Curry,Colonels,https://footballpedia.s3.amazonaws.com/logo/Division+3/Curry_Colonels.jpg
D3,Endicott,Gulls,https://footballpedia.s3.amazonaws.com/logo/Division+3/Endicott_Gulls.png
D3,New England,Nor'easters,https://pbs.twimg.com/profile_images/789287203457359872/CQQPbQGC_400x400.jpg
D3,Nichols,Bison,https://footballpedia.s3.amazonaws.com/logo/Division+3/Nichols_Bison.png
D3,Salve Regina,Seahawks,https://footballpedia.s3.amazonaws.com/logo/Division+3/Salve_Regina_Seahawks.jpg
D3,Western New England,Golden Bears,https://footballpedia.s3.amazonaws.com/logo/Division+3/Western_New_England_Golden_Bears.jpg
D3,Augustana (IL),Vikings,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/augustana-il.svg
D3,Carroll (WI),Pioneers,https://pbs.twimg.com/profile_images/723544686204477442/g0aKKyPj_400x400.jpg
D3,Carthage,Red Men,https://footballpedia.s3.amazonaws.com/logo/Division+3/Carthage_Red_Men.jpg
D3,Elmhurst,Bluejays,https://footballpedia.s3.amazonaws.com/logo/Division+3/Elmhurst_Bluejays.jpg
D3,Illinois Wesleyan,Titans,https://footballpedia.s3.amazonaws.com/logo/Division+3/Illinois_Wesleyan_Titans.jpg
D3,Millikin,Big Blue,https://footballpedia.s3.amazonaws.com/logo/Division+3/Millikin_Big_Blue.png
